HUCID,gauge_in,gauge_out,confidence,notes,decisions,merge_id
18100204,"US09527700, US10259540",,high,"endorheic basin, no outflow",inc,
18090202,,US10251330,high,"headwaters within, good gauge placement",inc,
18070203,,US11078000,high,add 70202,inc,6
18070202,,US11078000,high,merge with 70203,inc,6
18060005,,US11152500,high,merge with estrella,inc,1
18060004,,US11152500,high,merged with salinas,inc,1
18040014,,US11255575,high,"headwaters within, good placement",inc,
18040006,,US11251000,high,"headwaters within, good placement",inc,
18020162,,US11454000,moderate,averaging out the ratio of that straight to total area captured,inc,
18020153,,US11376550,moderate,distance from outlet,inc,
18020152,,US11376000,moderate,distance from outlet,inc,
18020151,,US11374000,moderate,distance from outlet,inc,
18020125,,US11421000,high,"headwaters within, good placement",inc,
18010212,,US11530000,moderate ,merge with trinity,inc,2
18010211,,US11530000,moderate,merge with South Fork,inc,2
18010210,,US11522500,high,"headwaters within, good placement",inc,
18010208,,US11519500,moderate,Distance from outlet,inc,
18010207,,US11517500,moderate,possible low flow basin,inc,
18010202,,US11501000,moderate,distance from outlet,inc,
18010201,US11501000,US11502500,moderate,the narrow averaged against the whole area covered,inc,
18010104,,US11473900,moderate,"good gauge placement, possible inflow, very low flow or dry",inc,
17110016,,US12080010,moderate,small portion ungauged,inc,
17110006,,US12189500,low,distance from outlet,inc,
17100311,,US14378200,high,"headwaters within, good placement",inc,
17100309,,US14369500,moderate,distance from outlet,inc,
17100301,,US14319500,high,"headwaters within, good placement",inc,
17100103,,US12031000,high,"headwaters within, good placement",inc,
17090011,,US14211010,moderate,gauge distance,inc,
17090010,,US14207500,high,"headwaters within, good placement",inc,
17090009,,"US14202000, US14200000",moderate,distance from outlet contains 2 gauges for fork,inc,
17090006,,US14189000,moderate,combined inflow from 005,inc,3
17090005,,US14189000,high,combined outflow with 006,inc,3
17090004,,US14165500,high,"headwaters within, good placement",inc,
17090002,,US14157500,moderate,"distance from outlet, averaged over space",inc,
17090001,,US14152000,moderate,"distance from outlet, averaged over space",inc,
17080004,,US14233500,high,"headwaters within, good placement",inc,
17080002,,"US14220500, US14222500",low,"distance from outlet, variable outflows ",inc,
17070204,,US14048000,low,West portion ungauged,inc,
17070203,,US14044000,low,distance from gauge,inc,
17070202,,US14046000,low,distance from outlet,inc,
17070106,,US14113000,moderate,gauge distance,inc,
17070103,,US14033500,high,"headwaters within, good placement",inc,
17070102,,US14018500,moderate,distance from outlet,inc,
17060307,,US13340600,high,"headwaters within, good placement",inc,
17060306,,US13342500,low,multiple inflows from ungauged hucs,inc,
17060305,,US13338500,moderate,"distance from outlet, averaged over space",inc,
17060303,,US13337000,high,"headwaters within, good placement",inc,
17060210,,US13316500,high,"headwaters within, good placement",inc,
17060204,,US13305310,moderate,distance from outlet,inc,
17060202,,US13302005,high,"headwaters within, good placement",inc,
17040221,,US13152500,moderate,Outflow basin,inc,4
17040220,,US13152500,moderate,Inflow basin,inc,4
17040219,,US13152500,moderate,Inflow basin,inc,4
17040213,,US13108150,high,"headwaters within, good placement",inc,
17040210,,US13087995,low,Merge with 209,inc,5
17040209,US13077000,US13087995,high,"Good inflow gauge, good outflow gauge",inc,5
17040205,,US13058000,low,complex outflow system,inc,
17040204,,"US13055340, US13055250",low,"distance from outlet, averaged, variable outflows",inc,
17040202,,US13046000,high,"headwaters within, good placement",inc,
17040105,,US13027500,moderate,"distance from outlet, averaged in area",inc,
17040102,,US13015000,moderate,averaged over narrow,inc,
17040101,,US13013650,low,"far from outlet, averaged over area",inc,
17020011,,US12462500,moderate,"distance from outlet, variable outflows but majority heading to wenatchee river outflow",inc,
17020009,,US12452550,moderate,man-made channel for spawning habitat,inc,
17020004,,US12434590,low,"distance from outlet, averaged over area",inc,
17020003,,US12409000,low,"distance from outlet, averaged over area",inc,
17010308,,US12431500,moderate,"distance from outlet, clear outflow",inc,
17010306,,US12424000,high,"headwaters within, good placement",inc,
17010305,,US12422500,moderate,empties into spokane,inc,
17010304,,US12415135,moderate,gauge at round lake,inc,
17010302,,US12413470,low,"moderate gauge placement, low flow basin",inc,
17010301,,US12413000,moderate,distance from outlet ,inc,
17010212,US12372000,US12388700,low,variable inflows,inc,
17010211,,US12370000,moderate,"distance from outlet, averaged over area",inc,
17010209,,US12362500,moderate,"distance from outlet, averaged over area",inc,
17010207,,US12358500,moderate,"distance from outlet, averaged over area",inc,
17010205,,US12352500,moderate,"distance from outlet, averaged over area",inc,
17010203,US12372000,US12340000,moderate,"distance from outlet, averaged over area",inc,
17010202,US12324680,US12334550,moderate,"distance from outlet, averaged over area",inc,
17010201,,US12324680,moderate,"distance from outlet, averaged over area",inc,
17010102,,US12302055,moderate,distance from outlet,inc,
