basin_group_id,is_merged,merge_id,n_huc8,hucids_in_group,area_acres_total,area_sqkm_total
17010102,False,,1,17010102,539423.88,2182.97
17010201,False,,1,17010201,1200001.78,4856.24
17010202,False,,1,17010202,1164572.73,4712.86
17010203,False,,1,17010203,1480179.81,5990.08
17010205,False,,1,17010205,1828999.92,7401.71
17010207,False,,1,17010207,726348.68,2939.43
17010209,False,,1,17010209,1072564.75,4340.52
17010211,False,,1,17010211,466558.53,1888.1
17010212,False,,1,17010212,1285641.46,5202.81
17010301,False,,1,17010301,573785.43,2322.03
17010302,False,,1,17010302,191360.16,774.41
17010304,False,,1,17010304,1181341.16,4780.72
17010305,False,,1,17010305,376400.94,1523.24
17010306,False,,1,17010306,443188.09,1793.52
17010308,False,,1,17010308,453914.08,1836.93
17020003,False,,1,17020003,651192.04,2635.28
17020004,False,,1,17020004,627973.05,2541.32
17020009,False,,1,17020009,596793.9,2415.14
17020011,False,,1,17020011,850266.61,3440.91
17040101,False,,1,17040101,1094937.85,4431.06
17040102,False,,1,17040102,399656.62,1617.35
17040105,False,,1,17040105,570523.4,2308.83
17040201,False,,1,17040201,360348.06,1458.28
17040202,False,,1,17040202,701361.95,2838.31
17040204,False,,1,17040204,713125.07,2885.92
17040205,False,,1,17040205,443412.84,1794.43
17040213,False,,1,17040213,1403762.4,5680.83
17060202,False,,1,17060202,531469.56,2150.78
17060204,False,,1,17060204,807321.82,3267.12
17060206,False,,1,17060206,880334.38,3562.59
17060210,False,,1,17060210,369142.49,1493.87
17060302,False,,1,17060302,657086.18,2659.14
17060303,False,,1,17060303,756193.23,3060.21
17060305,False,,1,17060305,754264.93,3052.4
17060306,False,,1,17060306,1507839.43,6102.02
17060307,False,,1,17060307,829808.38,3358.12
17070102,False,,1,17070102,1136922.38,4600.97
17070103,False,,1,17070103,1616456.13,6541.57
17070106,False,,1,17070106,865252.56,3501.56
17070202,False,,1,17070202,1182991.19,4787.4
17070203,False,,1,17070203,507019.93,2051.84
17070204,False,,1,17070204,2015256.58,8155.46
17070305,False,,1,17070305,1182890.44,4786.99
17070306,False,,1,17070306,1469293.19,5946.02
17080002,False,,1,17080002,672356.02,2720.93
17080004,False,,1,17080004,656139.8,2655.31
17090001,False,,1,17090001,874861.96,3540.44
17090002,False,,1,17090002,426542.18,1726.16
17090004,False,,1,17090004,857010.57,3468.2
17090009,False,,1,17090009,560310.72,2267.5
17090010,False,,1,17090010,453672.9,1835.95
17090011,False,,1,17090011,603343.35,2441.65
17100103,False,,1,17100103,830869.64,3362.41
17100301,False,,1,17100301,879309.49,3558.44
17100309,False,,1,17100309,493047.7,1995.3
17100311,False,,1,17100311,633550.82,2563.89
17110006,False,,1,17110006,468724.2,1896.86
17110016,False,,1,17110016,109262.15,442.17
18010104,False,,1,18010104,482180.71,1951.32
18010201,False,,1,18010201,920691.02,3725.91
18010202,False,,1,18010202,1030656.11,4170.92
18010207,False,,1,18010207,508177.21,2056.52
18010208,False,,1,18010208,521066.61,2108.68
18010210,False,,1,18010210,480829.62,1945.85
18020125,False,,1,18020125,860756.27,3483.36
18020151,False,,1,18020151,273588.05,1107.17
18020152,False,,1,18020152,603931.04,2444.02
18020153,False,,1,18020153,236366.7,956.54
18020162,False,,1,18020162,418710.33,1694.46
18040006,False,,1,18040006,1048828.8,4244.46
18040014,False,,1,18040014,195927.87,792.89
18090202,False,,1,18090202,2180980.8,8826.12
18100204,False,,1,18100204,3205935.01,12973.97
merge_1,True,1.0,2,"18060004, 18060005",2738492.06,11082.300000000001
merge_2,True,2.0,2,"18010211, 18010212",1304132.25,5277.64
merge_3,True,3.0,2,"17090005, 17090006",1155345.1300000001,4675.5199999999995
merge_4,True,4.0,3,"17040219, 17040220, 17040221",2139320.14,8657.53
merge_5,True,5.0,2,"17040209, 17040210",3094291.96,12522.17
merge_6,True,6.0,2,"18070202, 18070203",1574009.02,6369.790000000001
